브랜드,상호,주소,시도,군구,위도,경도,전화 번호,24시간,DT 매장,주차,테라스,흡연시설,서비스 제공 개수
할리스,FKI타워2호점,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",서울특별시,영등포구,37.5221803249647,126.919916550827,02-782-3647,no,no,no,no,no,0
할리스,신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,서울특별시,동작구,37.4995614234716,126.927153186125,02-823-2377,no,no,no,no,no,0
할리스,당산1가점,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",서울특별시,영등포구,37.5235012531296,126.899170493803,02-2679-7942,no,no,no,no,no,0
할리스,명동역점,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩)",서울특별시,중구,37.5612833166249,126.986361886176,02-752-5925,no,no,no,no,no,0
할리스,오류동점,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차)",서울특별시,구로구,37.4964851629173,126.845741839583,02-2625-4854,no,no,no,no,no,0
할리스,목동파리공원점,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙)",서울특별시,양천구,37.5366321308561,126.879863427781,02-2645-8497,no,no,no,no,no,0
할리스,신촌역점,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",서울특별시,마포구,37.5553097221974,126.935331733458,02-325-7588,no,no,no,no,no,0
할리스,이태원역점,서울특별시 용산구 이태원로 180 2층~3층,서울특별시,용산구,37.5342217426698,126.994224816687,02-749-8752,no,no,no,no,no,0
